title,text,label
The ministry of health held a press briefing to clarify recent changes related to employment data,The ministry of health held a press briefing to clarify recent changes related to employment data. Data was collected in accordance with established regulatory standards. The agency stated that additional updates would follow after review. Committee members are expected to discuss the matter further next month. Independent analysts noted the changes are consistent with prior guidance.,REAL
"The stock exchange released its quarterly report on public health funding, showing measured progress","The stock exchange released its quarterly report on public health funding, showing measured progress. Data was collected in accordance with established regulatory standards. The agency stated that additional updates would follow after review. Representatives clarified that no final decision has been made yet. Data was collected in accordance with established regulatory standards.",REAL
Anonymous insider reveals a rogue agency has been faking 5G towers data for years,"Anonymous insider reveals a rogue agency has been faking 5G towers data for years Wake up! The mainstream narrative simply does not add up. Thousands of people are waking up to the truth every single day. Thousands of people are waking up to the truth every single day. Experts are too afraid to speak up, but one brave whistleblower finally did. This is not a drill. Everything you thought you knew is a lie.",FAKE
Doctors HATE this one trick the media doesn't want you to know about vaccines,"Doctors HATE this one trick the media doesn't want you to know about vaccines Screenshots and forwarded messages confirm every detail of this story. Share this before it gets DELETED by the censors! No official has denied these claims, which only proves they are true. Screenshots and forwarded messages confirm every detail of this story.",FAKE
The world health organization signed an agreement with international partners on education reform,The world health organization signed an agreement with international partners on education reform. Independent analysts noted the changes are consistent with prior guidance. The findings were published following a standard peer-review process. The statement was corroborated by multiple independent sources. Representatives clarified that no final decision has been made yet.,REAL
The world health organization held a press briefing to clarify recent changes related to education reform,The world health organization held a press briefing to clarify recent changes related to education reform. A spokesperson confirmed the timeline for implementation is still being finalized. Data was collected in accordance with established regulatory standards. Committee members are expected to discuss the matter further next month.,REAL
The ministry of health announced a new policy on agricultural subsidies following months of deliberation,The ministry of health announced a new policy on agricultural subsidies following months of deliberation. The report is available on the official website for public review. Officials said further details would be shared in an upcoming press release. Committee members are expected to discuss the matter further next month.,REAL
The prime minister's office provided updated guidelines concerning vaccine distribution for the coming year,The prime minister's office provided updated guidelines concerning vaccine distribution for the coming year. The statement was corroborated by multiple independent sources. The statement was corroborated by multiple independent sources. Committee members are expected to discuss the matter further next month. Committee members are expected to discuss the matter further next month.,REAL
Anonymous insider reveals secret globalists has been faking weather control data for years,Anonymous insider reveals secret globalists has been faking weather control data for years Wake up! The mainstream narrative simply does not add up. Screenshots and forwarded messages confirm every detail of this story. Thousands of people are waking up to the truth every single day.,FAKE
Anonymous insider reveals a rogue agency has been faking weather control data for years,Anonymous insider reveals a rogue agency has been faking weather control data for years Wake up! The mainstream narrative simply does not add up. This is not a drill. Everything you thought you knew is a lie. This is not a drill. Everything you thought you knew is a lie. Share this before it gets DELETED by the censors!,FAKE
Local municipal authorities signed an agreement with international partners on infrastructure spending,Local municipal authorities signed an agreement with international partners on infrastructure spending. A spokesperson confirmed the timeline for implementation is still being finalized. Independent analysts noted the changes are consistent with prior guidance. The findings were published following a standard peer-review process. Data was collected in accordance with established regulatory standards. Officials said further details would be shared in an upcoming press release.,REAL
The prime minister's office signed an agreement with international partners on renewable energy,The prime minister's office signed an agreement with international partners on renewable energy. Independent analysts noted the changes are consistent with prior guidance. Representatives clarified that no final decision has been made yet. The statement was corroborated by multiple independent sources. Independent analysts noted the changes are consistent with prior guidance.,REAL
"EXPOSED: the government caught in massive the moon landing cover-up, insiders reveal","EXPOSED: the government caught in massive the moon landing cover-up, insiders reveal Thousands of people are waking up to the truth every single day. According to sources who wish to remain anonymous, this has been going on for decades. Thousands of people are waking up to the truth every single day. Wake up! The mainstream narrative simply does not add up. The evidence is being suppressed, but we obtained exclusive access.",FAKE
"EXPOSED: shadow scientists caught in massive your food supply cover-up, insiders reveal","EXPOSED: shadow scientists caught in massive your food supply cover-up, insiders reveal This is not a drill. Everything you thought you knew is a lie. Thousands of people are waking up to the truth every single day. This is not a drill. Everything you thought you knew is a lie. Thousands of people are waking up to the truth every single day.",FAKE
"The state government released its quarterly report on vaccine distribution, showing measured progress","The state government released its quarterly report on vaccine distribution, showing measured progress. Representatives clarified that no final decision has been made yet. A spokesperson confirmed the timeline for implementation is still being finalized. Representatives clarified that no final decision has been made yet.",REAL
You will be SHOCKED to learn the real truth behind secret globalists and 5G towers,"You will be SHOCKED to learn the real truth behind secret globalists and 5G towers No official has denied these claims, which only proves they are true. This is not a drill. Everything you thought you knew is a lie. This is not a drill. Everything you thought you knew is a lie.",FAKE
Mainstream media REFUSES to report this about hidden corporations and cryptocurrency,"Mainstream media REFUSES to report this about hidden corporations and cryptocurrency Wake up! The mainstream narrative simply does not add up. Thousands of people are waking up to the truth every single day. No official has denied these claims, which only proves they are true. This is not a drill. Everything you thought you knew is a lie. Experts are too afraid to speak up, but one brave whistleblower finally did.",FAKE
Doctors HATE this one trick hidden corporations doesn't want you to know about cryptocurrency,"Doctors HATE this one trick hidden corporations doesn't want you to know about cryptocurrency Screenshots and forwarded messages confirm every detail of this story. This is not a drill. Everything you thought you knew is a lie. The evidence is being suppressed, but we obtained exclusive access. Share this before it gets DELETED by the censors! Thousands of people are waking up to the truth every single day.",FAKE
The election commission scheduled a public consultation regarding vaccine distribution reforms,The election commission scheduled a public consultation regarding vaccine distribution reforms. Committee members are expected to discuss the matter further next month. The report is available on the official website for public review. Data was collected in accordance with established regulatory standards. The report is available on the official website for public review. A spokesperson confirmed the timeline for implementation is still being finalized.,REAL
"This changes EVERYTHING: a rogue agency secretly controls the water supply, leaked memo shows","This changes EVERYTHING: a rogue agency secretly controls the water supply, leaked memo shows Screenshots and forwarded messages confirm every detail of this story. Screenshots and forwarded messages confirm every detail of this story. This is not a drill. Everything you thought you knew is a lie. Share this before it gets DELETED by the censors!",FAKE
"EXPOSED: the elite caught in massive the election results cover-up, insiders reveal","EXPOSED: the elite caught in massive the election results cover-up, insiders reveal Sources close to the matter say the cover-up goes all the way to the top. Thousands of people are waking up to the truth every single day. Wake up! The mainstream narrative simply does not add up.",FAKE
